[002:OBNA#0016]	墓園@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[002:OBNA#0020]	崔德的船@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[002:OBNA#0017]	木蝨鎮@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[002:OBNA#0018]	半島@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[002:OBNA#0019]	海灘@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[002:OBNA#0021]	沼澤@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[002:ENCD#0002]	船屋@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:VERB#0029]	"熱騰騰香腸！-- 20呎"
[004:OBNA#0029]	招牌@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:OBNA#0023]	芬克@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:OBNA#0024]	巴特@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:VERB#0025]	太重了。
[004:OBNA#0025]	圓木@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:VERB#0026]	不錯的棍子。
[004:OBNA#0026]	棍子@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:VERB#0028]	香腸小屋@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:VERB#0028]	雷普·史卡林的熱騰騰香腸小屋^\255\003^在此點餐。
[004:OBNA#0028]	招牌@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:OBNA#0022]	小徑@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:OBNA#0030]	門@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:VERB#0027]	看起來關門了。
[004:VERB#0027]	幹嘛？這裡已經關門大吉了。
[004:OBNA#0027]	小屋@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:ENCD#0004]	香腸小屋@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:LSCR#0204]	哈！\255\003那些傢伙就算花五十塊，也聽不出什麼才是好故事。
[004:LSCR#0204]	等我找到大驚奇，我就會成為海盜界世世代代傳頌的傳奇人物。
[004:LSCR#0204]	只要能租到一艘船，離開這座臭氣沖天的島就好了^
[004:LSCR#0206]	蓋布拉許
[004:SCRP#0001]	一般模式
[004:SCRP#0001]	Monkey 2 (v1.0 11/21/91) \255\004\068\000,\255\004\069\000 \255\007\026\000
[004:SCRP#0001]	遊戲暫停中。按 SPACE 鍵繼續。
[004:SCRP#0001]	請插入磁碟 %c，然後按按鈕繼續。
[004:SCRP#0001]	找不到 %s，(%c%d) 請按按鈕。
[004:SCRP#0001]	讀取磁碟 %c 時發生錯誤，(%c%d) 請按按鈕。
[004:SCRP#0001]	確定要重新開始嗎？ (Y/N)Y
[004:SCRP#0001]	確定要離開遊戲嗎？ (Y/N)Y
[004:SCRP#0001]	儲存
[004:SCRP#0001]	讀取
[004:SCRP#0001]	開始
[004:SCRP#0001]	取消
[004:SCRP#0001]	離開
[004:SCRP#0001]	確定
[004:SCRP#0001]	請插入存檔/讀檔磁碟
[004:SCRP#0001]	請輸入名稱
[004:SCRP#0001]	遊戲未儲存(磁碟已滿？)
[004:SCRP#0001]	遊戲未讀取
[004:SCRP#0001]	正在儲存「%s」
[004:SCRP#0001]	正在讀取「%s」
[004:SCRP#0001]	為存檔命名
[004:SCRP#0001]	選擇要讀取的存檔
[004:SCRP#0001]	蓋布拉許
[004:SCRP#0001]	除錯模式未啟用
[004:SCRP#0001]	一桶爛泥@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:SCRP#0001]	沾滿口水的紙@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:SCRP#0001]	沾滿口水的紙@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:SCRP#0001]	手和地圖@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:SCRP#0001]	手和地圖@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:SCRP#0001]	沾滿口水的紙@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:SCRP#0001]	破瓶子@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:SCRP#0001]	沾滿口水的紙@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:SCRP#0001]	沾滿口水的紙@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:SCRP#0001]	簡單模式
[004:SCRP#0002]	我沒有拿著\255\006\001\064。
[004:SCRP#0002]	我沒有拿著\255\006\001\064。
[004:SCRP#0002]	我碰不到它。
[004:SCRP#0003]	看起來打不開。
[004:SCRP#0003]	我搬不動它。
[004:SCRP#0003]	不錯的\255\006\001\064。
[004:SCRP#0003]	我看不出它有什麼特別的。
[004:SCRP#0003]	我拿不起來。
[004:SCRP#0003]	我從這裡碰不到。
[004:SCRP#0003]	那個好像沒用。
[004:SCRP#0004]	糖漿龜速機。
[004:SCRP#0004]	合法上路機。
[004:SCRP#0004]	超時空引擎機。
[004:SCRP#0004]	磁碟片
[004:SCRP#0004]	硬碟
[004:SCRP#0004]	選定角色為\255\004\001\000
[004:SCRP#0004]	一般模式
[004:SCRP#0004]	簡單模式
[004:SCRP#0004]	對話顏色\255\004\229\001
[004:SCRP#0004]	機器評等為\255\005\189\000
[004:SCRP#0004]	你確定要直接獲勝嗎？(Y/N)
[004:SCRP#0007]	遊戲讀取後已將你切換到簡單模式。
[004:SCRP#0007]	遊戲讀取後已將你切換到困難模式。
[004:SCRP#0019]	按下按鍵：\255\004\001\064
[004:SCRP#0021]	走到@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:SCRP#0021]	給予@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:SCRP#0021]	打開@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:SCRP#0021]	關閉@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:SCRP#0021]	拿起@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:SCRP#0021]	查看@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
